Starting with distance:  3
Starting with error rate:  0.2
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 6.3156
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 1.1099
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.9352
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 4.5617
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.1266
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 1.1624
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 1.1621
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 2.5305
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 314.7389
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 314.7389
Best Accuracy:  0.952247191011236 Best Hyperparameters {'distance': 5, 'error_rate': 0.4, 'hidden_size': 32, 'num_layers': 3, 'lr': 0.01, 'weight_decay': 0.0005}
Starting with distance:  7
Starting with error rate:  0.2
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.1055
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.1079
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.9763
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.1722
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.5826
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.3914
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7559
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 0.8172
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.6988
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.6947
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 5.1789
Distance: 7, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 2431.1208
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.1691
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.1617
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.7135
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 4.4368
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.6960
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7216
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7465
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 3.4973
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7522
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7294
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.3884
Distance: 7, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7335
